Event Name,Date,Location,Focus,Cost,Speakers,URL,Expected Attendees,Best For,Attendee Profile
AmCham of Asia Pacific - Washington Doorknock 2025,"July, 13 2025 12:00 - July, 16 2025 12:00",,Join AmCham's annual visit to Washington for the latest insights and analysis needed to respond to the challenges of today and to prepare for the opportunities of tomorrow.AmCham members from across...,,,https://amchamphilippines.glueup.com/event/139540,,,
Optimizing Project Delivery for Efficiency and Impact,"July, 16 2025 | 09:00 - 03:00",,"Eager to enhance your project management skills and take on more complex challenges? Looking at expanding your project management skills using other project management tools? Join us on July 16, 2025...",,,https://amchamphilippines.glueup.com/event/140564,,,
Trade Talks: Public-Private Perspectives on Free Trade and Investment Opportunities,"July, 16 2025 | 12:00 - 02:00",,AmCham proudly presents a distinguished panel of experts for our July General Membership Meeting: “Trade Talks: Public-Private Perspectives on Free Trade and Investment Opportunities.”Date: July...,,,https://amchamphilippines.glueup.com/event/148146,,,
[OSAC] Philippines 2050: Navigating Risks & Opportunities in the Coming Global Disorder,"July, 17 2025 | 02:00 - 04:00",,"A recent report from Goldman Sachs has projected that the Philippines will emerge as one of the world’s top fifteen economies by 2050, reflecting anticipated gains in both political and economic...",,,https://amchamphilippines.glueup.com/event/148293,,,
Strengthening Public-Private Collaboration Toward the 2025 UN High-Level Declaration on Non-Communicable Diseases,"July, 21 2025 | 02:00 - 04:00",,"In the lead-up to the 2025 United Nations High-Level Meeting (UN HLM) on Non-Communicable Diseases (NCDs), there is a renewed global call for stronger national responses and cross-sector...",,,https://amchamphilippines.glueup.com/event/148909,,,
Unlocking Opportunities Under the Capital Markets Efficiency Promotion Act,"July, 22 2025 | 10:00 - 11:30",,"AmCham North Luzon Financial Services, Taxes, and Tariffs (FSTT) committee is pleased to invite you for a discussion on the updates of  Capital Markets Efficiency Promotion Act (CMEPA), recently...",,,https://amchamphilippines.glueup.com/event/148651,,,
[AMCHAM Visayas] Medical Mall Tour,"July, 22 2025 | 10:00 - 12:00",,"We are pleased to invite you to an exclusive tour of Chong Hua Medical Mall, a modern hub for healthcare innovation, wellness, and business collaboration. Explore how healthcare and commerce can work...",,,https://amchamphilippines.glueup.com/event/148866,,,
Future Forward: The 2025 IT-BPM Mid-Year Outlook,"July, 22 2025 | 12:00 - 02:30",,"The Philippines continues to be one of the world’s leading destinations for business process outsourcing (BPO), with the industry serving as a cornerstone of the national economy, providing...",,,https://amchamphilippines.glueup.com/event/136882,,,
Foundations of Leadership: Thriving in Times of Change,"July, 22 2025 | 01:00 - 04:00",,"Leadership in Changing Times is a dynamic, in-person training session designed to equip new managers, first-time supervisors, and experienced leaders with the essential skills needed to lead...",,,https://amchamphilippines.glueup.com/event/137192,,,
Maximizing Industry Impact: Leveraging the Enterprise-Based  Education and Training (EBET)  Framework Act for Workforce  Development,"July, 24 2025 | 10:00 - 12:00",,"AmCham proudly presents TESDA Secretary Jose Francisco ""Kiko"" B. Benitez as our keynote speaker for a Committee Meeting on “Maximizing Industry Impact: Leveraging the Enterprise-Based Education and...",,,https://amchamphilippines.glueup.com/event/148284,,,
AI in Digital Marketing,"July, 24 2025 | 01:00 - 04:00",,"Artificial intelligence is no longer a futuristic concept—it is a powerful tool that is revolutionizing digital marketing today. From automating customer interactions to optimizing ad performance,...",,,https://amchamphilippines.glueup.com/event/135737,,,
